"","out_B14.5.fq.gz.bam","out_B15.5.fq.gz.bam","out_B17.5.fq.gz.bam","out_B20.fq.gz.bam","out_B34.fq.gz.bam","out_C14.5.fq.gz.bam","out_C15.5.fq.gz.bam","out_C17.5.fq.gz.bam","out_C20.fq.gz.bam","out_C34.fq.gz.bam"
"MSTRG.966",0,0,0,0,0,0,0,0,0,0
"MSTRG.967",504,488,441,498,348,509,399,297,343,420
"MSTRG.968",33,31,25,30,32,12,13,14,30,114
"MSTRG.969",0,1,0,0,0,0,0,0,0,0
"MSTRG.970",0,0,0,0,0,0,0,0,0,4
"MSTRG.971",18,13,50,48,102,8,42,21,82,600
"MSTRG.972",1469,1207,910,725,547,941,1018,979,735,424
"MSTRG.973",3113,2151,2439,1926,1123,3002,1774,1383,1495,1335
"MSTRG.974",392,202,86,99,69,50,40,34,48,57
"MSTRG.975",0,0,0,0,1,0,0,0,0,0
"MSTRG.976",3,1,0,5,6,0,0,0,3,1
"MSTRG.977",1034,790,695,533,938,900,660,587,640,743
"MSTRG.978",867,761,822,997,716,766,607,747,796,793
"MSTRG.979",1203,1050,1278,1298,987,1391,1129,1153,1234,769
"MSTRG.980",0,0,0,0,0,0,0,0,1,0
"MSTRG.981",0,0,1,1,0,0,0,0,0,0
"MSTRG.982",6,9,7,1,3,9,8,7,5,3
"MSTRG.983",106,153,270,248,434,182,351,326,359,148
"MSTRG.984",7,4,14,4,2,11,10,9,2,2
"MSTRG.985",746,811,807,1126,1937,924,954,899,1207,1537
"MSTRG.986",7,16,19,18,20,5,5,6,8,10
"MSTRG.987",1,1,2,9,59,2,1,0,1,2
"MSTRG.988",125,116,205,349,671,219,186,312,361,303
"MSTRG.989",584,479,443,398,370,590,466,429,477,473
"MSTRG.990",612,610,674,668,1112,771,699,945,772,870
"MSTRG.991",0,2,5,3,1,6,3,7,1,1
"MSTRG.992",1473,2183,239,808,1017,6030,4028,7203,5852,1168
"MSTRG.993",2,1,0,1,1,2,0,2,2,1
"MSTRG.994",77,26,23,108,31,130,16,29,59,32
"MSTRG.995",1,5,9,1,0,1,0,5,4,0
